Site,Year,Habitat,Collection_Method,Date,Replicate,Taxon,Stage,Insect,Origin,Higher_classification,Order,Family,Common_name,Abundance,Biomass
barr,2010,aquatic,bottle trap,5-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6,0.130860892
barr,2010,aquatic,bottle trap,5-Jul-10,1,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,0.079390097
barr,2010,aquatic,bottle trap,5-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,7,0.568316556
barr,2010,aquatic,bottle trap,5-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,5,43.40603969
barr,2010,aquatic,bottle trap,5-Jul-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,4,32.96213335
barr,2010,aquatic,bottle trap,5-Jul-10,1,Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,x,springtails,4,0.050718392
barr,2010,aquatic,bottle trap,8-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,77,1.697151351
barr,2010,aquatic,bottle trap,8-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,0.060239973
barr,2010,aquatic,bottle trap,8-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,10,0.727316556
barr,2010,aquatic,bottle trap,8-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,7,62.81147051
barr,2010,aquatic,bottle trap,8-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,4,0.016306197
barr,2010,aquatic,bottle trap,8-Jul-10,1,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,1,0.149329225
barr,2010,aquatic,bottle trap,8-Jul-10,1,Ephydridae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Ephydridae,shore and brine flies,1,1.792002433
barr,2010,aquatic,bottle trap,8-Jul-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,8,41.48508463
barr,2010,aquatic,bottle trap,11-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,62,1.400839109
barr,2010,aquatic,bottle trap,11-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,0.090163519
barr,2010,aquatic,bottle trap,11-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,7,0.462252919
barr,2010,aquatic,bottle trap,11-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,10,114.5059237
barr,2010,aquatic,bottle trap,11-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,13,0.055671592
barr,2010,aquatic,bottle trap,11-Jul-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,5,12.44026998
barr,2010,aquatic,bottle trap,14-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,107,1.81387638
barr,2010,aquatic,bottle trap,14-Jul-10,1,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6,1.612377987
barr,2010,aquatic,bottle trap,14-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,13,1.010890393
barr,2010,aquatic,bottle trap,14-Jul-10,1,Chironomidae,PE,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,0.508565238
barr,2010,aquatic,bottle trap,14-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,4,0.290926622
barr,2010,aquatic,bottle trap,14-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,13.07358296
barr,2010,aquatic,bottle trap,14-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,8,0.03571782
barr,2010,aquatic,bottle trap,14-Jul-10,1,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,1,0.102323818
barr,2010,aquatic,bottle trap,17-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,50,0.847605785
barr,2010,aquatic,bottle trap,17-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,0.089225977
barr,2010,aquatic,bottle trap,17-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,2,0.118326297
barr,2010,aquatic,bottle trap,17-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,5,51.14286732
barr,2010,aquatic,bottle trap,17-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,1,0.006753
barr,2010,aquatic,bottle trap,17-Jul-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,7.563283788
barr,2010,aquatic,bottle trap,20-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,15,0.368505522
barr,2010,aquatic,bottle trap,20-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,0.04454454
barr,2010,aquatic,bottle trap,20-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,3,32.02577877
barr,2010,aquatic,bottle trap,20-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,2,0.013506
barr,2010,aquatic,bottle trap,20-Jul-10,1,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,4,0.3032
barr,2010,aquatic,bottle trap,20-Jul-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,2,35.27583709
barr,2010,aquatic,bottle trap,20-Jul-10,1,Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,x,springtails,1,0.010654246
barr,2010,aquatic,bottle trap,23-Jul-10,1,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,1,0.096196853
barr,2010,aquatic,bottle trap,23-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,89,1.508738297
barr,2010,aquatic,bottle trap,23-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,0.039343343
barr,2010,aquatic,bottle trap,23-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,6,0.22177824
barr,2010,aquatic,bottle trap,23-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,5,38.95750532
barr,2010,aquatic,bottle trap,23-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,4,0.027012
barr,2010,aquatic,bottle trap,23-Jul-10,1,Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,x,springtails,2,0.010842015
barr,2010,aquatic,bottle trap,26-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,77,1.305312909
barr,2010,aquatic,bottle trap,26-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,0.031907945
barr,2010,aquatic,bottle trap,26-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,10,0.312903886
barr,2010,aquatic,bottle trap,26-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,10,95.2904843
barr,2010,aquatic,bottle trap,26-Jul-10,1,Dytiscidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,0.188327428
barr,2010,aquatic,bottle trap,26-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,14,0.118026613
barr,2010,aquatic,bottle trap,26-Jul-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,3,22.32502622
barr,2010,aquatic,bottle trap,26-Jul-10,1,Cladocera,U,non-insect,Aquatic,Crustacea: Cladocera,x,x,water fleas,8,0.091723553
barr,2010,aquatic,bottle trap,29-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,40,0.96217288
barr,2010,aquatic,bottle trap,29-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,0.011013444
barr,2010,aquatic,bottle trap,29-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,11,0.378230183
barr,2010,aquatic,bottle trap,29-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,7,55.81744142
barr,2010,aquatic,bottle trap,29-Jul-10,1,Dytiscidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,0.434996037
barr,2010,aquatic,bottle trap,29-Jul-10,1,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,7,0.923778088
barr,2010,aquatic,bottle trap,29-Jul-10,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,6,0.062787111
barr,2010,aquatic,bottle trap,29-Jul-10,1,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,1,0.102323818
barr,2010,aquatic,bottle trap,29-Jul-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,29.74973976
barr,2010,aquatic,bottle trap,29-Jul-10,1,Araneae,U,non-insect,Terrestrial,Arthropoda: Arachnida,x,x,spiders,1,1.463533877
barr,2010,aquatic,bottle trap,29-Jul-10,1,Cladocera,U,non-insect,Aquatic,Crustacea: Cladocera,x,x,water fleas,17,0.358940626
barr,2010,aquatic,bottle trap,23-Jun-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,5,0.185483056
barr,2010,aquatic,bottle trap,23-Jun-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,9,0.166120371
barr,2010,aquatic,bottle trap,23-Jun-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,2,10.80942103
barr,2010,aquatic,bottle trap,23-Jun-10,2,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,4,0.99623586
barr,2010,aquatic,bottle trap,23-Jun-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,2,0.01026768
barr,2010,aquatic,bottle trap,23-Jun-10,2,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,2,0.576793629
barr,2010,aquatic,bottle trap,23-Jun-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,0.040897869
barr,2010,aquatic,bottle trap,26-Jun-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,14,0.159666022
barr,2010,aquatic,bottle trap,26-Jun-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6,0.281411236
barr,2010,aquatic,bottle trap,26-Jun-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,4,0.251463311
barr,2010,aquatic,bottle trap,26-Jun-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,3.04842761
barr,2010,aquatic,bottle trap,26-Jun-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,0.071059124
barr,2010,aquatic,bottle trap,29-Jun-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,15,0.186426568
barr,2010,aquatic,bottle trap,29-Jun-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,0.132514746
barr,2010,aquatic,bottle trap,29-Jun-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,3,0.159
barr,2010,aquatic,bottle trap,29-Jun-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,3,15.26969608
barr,2010,aquatic,bottle trap,29-Jun-10,2,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,1,0.170898769
barr,2010,aquatic,bottle trap,29-Jun-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,0.071059124
barr,2010,aquatic,bottle trap,2-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,12,0.169690111
barr,2010,aquatic,bottle trap,2-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,8,0.201274439
barr,2010,aquatic,bottle trap,2-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,3,0.198463311
barr,2010,aquatic,bottle trap,2-Jul-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,2,1.833634451
barr,2010,aquatic,bottle trap,5-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,55,0.680749957
barr,2010,aquatic,bottle trap,5-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6,0.112598947
barr,2010,aquatic,bottle trap,5-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1,0.053
barr,2010,aquatic,bottle trap,5-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,7,43.04999994
barr,2010,aquatic,bottle trap,5-Jul-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,4,16.42053942
barr,2010,aquatic,bottle trap,8-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,32,0.450536915
barr,2010,aquatic,bottle trap,8-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,0.057318032
barr,2010,aquatic,bottle trap,8-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,9,0.541115905
barr,2010,aquatic,bottle trap,8-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,12,80.85336531
barr,2010,aquatic,bottle trap,8-Jul-10,2,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,1,0.2306994
barr,2010,aquatic,bottle trap,8-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,1,0.00351468
barr,2010,aquatic,bottle trap,8-Jul-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,5,15.54383167
barr,2010,aquatic,bottle trap,11-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,200,3.39042314
barr,2010,aquatic,bottle trap,11-Jul-10,2,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,0.580165299
barr,2010,aquatic,bottle trap,11-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,23,0.783583397
barr,2010,aquatic,bottle trap,11-Jul-10,2,Chironomidae,PE,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,0.415584174
barr,2010,aquatic,bottle trap,11-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,13,0.728463311
barr,2010,aquatic,bottle trap,11-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,3,23.67594532
barr,2010,aquatic,bottle trap,11-Jul-10,2,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,8,1.605970508
barr,2010,aquatic,bottle trap,11-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,100,0.351468022
barr,2010,aquatic,bottle trap,11-Jul-10,2,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,1,0.114687837
barr,2010,aquatic,bottle trap,11-Jul-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,2,3.174520198
barr,2010,aquatic,bottle trap,11-Jul-10,2,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,4,0.130285124
barr,2010,aquatic,bottle trap,14-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,150,1.68102332
barr,2010,aquatic,bottle trap,14-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,0.122071463
barr,2010,aquatic,bottle trap,14-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,5,0.229606031
barr,2010,aquatic,bottle trap,14-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,11.23361725
barr,2010,aquatic,bottle trap,14-Jul-10,2,Dytiscidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,0.146200502
barr,2010,aquatic,bottle trap,14-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,48,0.165599226
barr,2010,aquatic,bottle trap,17-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,37,0.494496593
barr,2010,aquatic,bottle trap,17-Jul-10,2,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,0.282723851
barr,2010,aquatic,bottle trap,17-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,0.047763768
barr,2010,aquatic,bottle trap,17-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,5,0.183588957
barr,2010,aquatic,bottle trap,17-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,7,62.01358986
barr,2010,aquatic,bottle trap,17-Jul-10,2,Dytiscidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,0.188327428
barr,2010,aquatic,bottle trap,17-Jul-10,2,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,3,0.463554813
barr,2010,aquatic,bottle trap,17-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,8,0.037832401
barr,2010,aquatic,bottle trap,17-Jul-10,2,Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,x,springtails,1,0.010654246
barr,2010,aquatic,bottle trap,20-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,59,1.000174826
barr,2010,aquatic,bottle trap,20-Jul-10,2,Chironomidae,PE,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,0.067742856
barr,2010,aquatic,bottle trap,20-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,3,27.16019416
barr,2010,aquatic,bottle trap,20-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,3,0.01378236
barr,2010,aquatic,bottle trap,20-Jul-10,2,Cladocera,U,non-insect,Aquatic,Crustacea: Cladocera,x,x,water fleas,2,0.108106191
barr,2010,aquatic,bottle trap,23-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,87,0.974993526
barr,2010,aquatic,bottle trap,23-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,8,0.420474187
barr,2010,aquatic,bottle trap,23-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,16,113.0114586
barr,2010,aquatic,bottle trap,23-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,15,0.101295
barr,2010,aquatic,bottle trap,23-Jul-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,4,14.97728233
barr,2010,aquatic,bottle trap,26-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,397,6.729989932
barr,2010,aquatic,bottle trap,26-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,0.025410088
barr,2010,aquatic,bottle trap,26-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,12,0.492057974
barr,2010,aquatic,bottle trap,26-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,32,262.0487569
barr,2010,aquatic,bottle trap,26-Jul-10,2,Dytiscidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,4,1.493315538
barr,2010,aquatic,bottle trap,26-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,13,0.08455068
barr,2010,aquatic,bottle trap,26-Jul-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,5,34.16744284
barr,2010,aquatic,bottle trap,29-Jul-10,2,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,530,8.98462132
barr,2010,aquatic,bottle trap,29-Jul-10,2,Prionocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,2,0.357254966
barr,2010,aquatic,bottle trap,29-Jul-10,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6,0.281833423
barr,2010,aquatic,bottle trap,29-Jul-10,2,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,17,0.744731677
barr,2010,aquatic,bottle trap,29-Jul-10,2,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,12,50.99904137
barr,2010,aquatic,bottle trap,29-Jul-10,2,Dytiscidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,2.216797493
barr,2010,aquatic,bottle trap,29-Jul-10,2,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,5,0.535894601
barr,2010,aquatic,bottle trap,29-Jul-10,2,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,76,0.842810838
barr,2010,aquatic,bottle trap,29-Jul-10,2,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,1,0.102323818
barr,2010,aquatic,bottle trap,29-Jul-10,2,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,5,36.71087796
barr,2010,aquatic,bottle trap,29-Jul-10,2,Cladocera,U,non-insect,Aquatic,Crustacea: Cladocera,x,x,water fleas,1,0.024054322
barr,2010,aquatic,bottle trap,23-Jun-10,3,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,3,0.047292783
barr,2010,aquatic,bottle trap,23-Jun-10,3,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,0.319172531
barr,2010,aquatic,bottle trap,26-Jun-10,3,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,15,0.431169277
barr,2010,aquatic,bottle trap,26-Jun-10,3,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,0.124107675
